id_client,polynomial_ma_1,polynomial_ar_1,cluster,cluster_DBSCAN
142,-0.9984868347350808,,2.0,29.0
143,,,2.0,29.0
144,,,2.0,29.0
145,,,2.0,29.0
146,,,2.0,29.0
147,-0.015015904692109722,-0.7020758599738837,0.0,2.0
148,,,2.0,29.0
149,,,2.0,29.0
150,,,2.0,29.0
151,,,2.0,29.0
152,,,2.0,29.0
153,,,2.0,29.0
154,,,2.0,29.0
155,,,2.0,29.0
156,,,2.0,29.0
157,,,2.0,29.0
158,0.7364921338554372,0.7904155607034059,1.0,3.0
159,,,2.0,29.0
160,,,2.0,29.0
161,,,2.0,29.0
162,,,2.0,29.0
163,,,2.0,29.0
164,0.7534208064992096,0.33176461483329583,1.0,4.0
165,-0.9986399709895676,-0.6555880402519599,0.0,0.0
166,-0.9978120046076842,-0.6555412241734946,0.0,0.0
167,-0.999300218551967,-0.6712565596428303,0.0,0.0
168,-0.9995014075388016,-0.6555646663277334,0.0,0.0
169,,,2.0,29.0
170,-0.9994066518434472,-0.6555595518228885,0.0,0.0
171,,,2.0,29.0
172,-0.999600632268092,-0.6555834716293721,0.0,0.0
173,-0.999768043024489,-0.6555368418868146,0.0,0.0
174,-0.9993190109530596,-0.655563181839297,0.0,0.0
175,,,2.0,29.0
176,-0.6766554697956259,,2.0,29.0
177,0.9989823652959404,0.8096890631204822,1.0,5.0
178,-0.9996524389119482,-0.6555463283212465,0.0,0.0
179,,,2.0,29.0
180,,,2.0,29.0
181,-0.999721257784116,-0.6555478901601199,0.0,0.0
182,-0.9997627232789424,-0.6555500599655547,0.0,0.0
183,0.5127797777557156,,2.0,29.0
184,-0.9977057680887664,-0.6555016482912619,0.0,0.0
185,,,2.0,29.0
186,-0.9992375786294304,-0.6555574850145269,0.0,0.0
187,-0.9998092577532138,-0.6555585221653131,0.0,0.0
188,-0.99947762842087,-0.6554895840835994,0.0,0.0
189,0.994610904980122,,2.0,29.0
190,-0.999561846415414,-0.6555332262692991,0.0,0.0
191,-0.9991121569474456,-0.7772516593595147,0.0,0.0
192,,,2.0,29.0
